Ticker,ICBCode1,ICBName1,ICBCode2,ICBName2,ICBCode3,ICBName3,ICBCode4,ICBName4
MDI,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
MDN,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MDT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MEC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MED,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
MEF,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
MEG,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MEL,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MES,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MEY,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
MFS,6000,Viễn thông,6000,Viễn thông,6000,Viễn thông,6000,Viễn thông
MGC,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MGG,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MGR,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
MH3,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
MHC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MHL,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MHP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MIC,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MIE,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MIG,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
MIM,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MKP,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
MKV,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
MLC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MLS,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MML,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MNB,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MND,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MPC,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MPT,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MPY,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MQB,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MQN,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MRF,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
MSB,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
MSCI VN,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
MSH,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MSN,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MSR,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MST,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MT7,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
MT9,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MTA,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MTB,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MTC,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
MTG,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
MTH,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MTL,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MTN,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
MTP,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
MTS,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MTV,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MTX,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MVB,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
MVC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MVN,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MVT,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
MVY,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
MWG,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
MZG,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NAB,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
NAC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NAF,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NAG,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NAP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NAS,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NAU,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NAV,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NAW,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NBB,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NBC,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NBE,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
NBP,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NBT,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NBW,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NCG,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NCS,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NCT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
ND2,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NDC,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
NDF,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NDN,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NDP,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
NDT,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NDW,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NDX,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NED,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NEM,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NET,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NFC,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NGC,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NHA,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NHC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NHD,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
NHH,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NHP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NHT,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NHV,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NJC,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NKG,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NLG,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NLS,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NNC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NNG,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NNQ,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NNT,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NO1,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NOS,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NQB,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NQN,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NQT,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NRC,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NS2,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NS3,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NSC,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NSG,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NSH,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
NSL,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NSS,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NST,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NT2,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NTB,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NTC,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NTF,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
NTG,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
NTH,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NTL,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NTP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NTPGF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NTPPF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NTPVF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NTS,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NTT,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
NTW,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NUE,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
NVB,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
NVL,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NVN,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NVP,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
NVT,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
NWT,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
NXT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
OCB,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
OCH,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
ODE,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
OGC,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
OIL,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí
ONE,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin
ONW,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
OPC,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
ORS,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PAC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PAGGF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PAI,6000,Viễn thông,6000,Viễn thông,6000,Viễn thông,6000,Viễn thông
PAN,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
PAP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PAS,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PAT,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PBC,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
PBGIF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PBIF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PBK,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PBP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PBT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PC1,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PCB,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
PCC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PCE,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PCF,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
PCG,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PCH,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PCM,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PCN,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PCT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PDB,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PDC,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
PDN,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PDR,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PDT,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PDV,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PEC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PEG,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PEN,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PEQ,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí
PET,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
PFL,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PGB,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng,8301,Ngân hàng
PGC,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PGD,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PGI,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PGN,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PGS,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PGT,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
PGV,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PHC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PHH,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PHN,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PHP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PHR,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PHS,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PHUCAN,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER
PHVSF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PIA,6000,Viễn thông,6000,Viễn thông,6000,Viễn thông,6000,Viễn thông
PIC,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PID,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PIS,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PIT,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
PIV,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
PJC,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PJS,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PJT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PLA,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PLC,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PLE,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PLO,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PLP,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PLX,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí
PMB,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
PMC,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
PMG,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PMJ,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin
PMP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PMS,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PMT,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin
PMW,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PNC,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
PND,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PNG,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng,5000,Dịch vụ Tiêu dùng
PNJ,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
PNP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
PNT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
POB,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
POF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
POIF,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
POM,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu,1000,Nguyên vật liệu
POS,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí,0001,Dầu khí
POT,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin,9000,Công nghệ Thông tin
POV,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
POW,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
PPC,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
