TargetTicker,Ticker,SimilarityScore,DistanceScore,MetricsCoverage,PeerPool,SimilarityBasis,PeerRank,CompanyName,LegalName,Sector,EntityType
LPB,VIB,0.7968835397406825,0.2031164602593174,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, ROE",2,VIB,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng,BANK
LPB,HDB,0.7785220070934357,0.2214779929065643,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
LPB,TPB,0.7667422524565382,0.2332577475434618,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, NPL",4,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
LPB,SHB,0.7571370428513285,0.2428629571486714,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",5,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,BANK
LPB,ACB,0.7419501133786848,0.2580498866213151,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, ROE",6,ACB,Ngân hàng TMCP Á Châu,Ngân hàng,BANK
LPB,ABB,0.7414268271411129,0.2585731728588872,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",7,ABB,ABB,Ngân hàng,BANK
LPB,CTG,0.7354846211989069,0.2645153788010931,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",8,VietinBank,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,BANK
LPB,MBB,0.7308099308099308,0.2691900691900691,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",9,MB Bank,Ngân hàng TMCP Quân đội,Ngân hàng,BANK
LPB,STB,0.7075062503633932,0.2924937496366068,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, CAR",10,Sacombank,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng,BANK
MBB,CTG,0.8677597534740392,0.1322402465259608,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",1,VietinBank,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,BANK
MBB,VCB,0.8517471946043375,0.1482528053956625,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",2,Vietcombank,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng,BANK
MBB,TCB,0.8359323216466074,0.1640676783533926,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, ROE",3,Techcombank,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng,BANK
MBB,ACB,0.8325716611430897,0.1674283388569103,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",4,ACB,Ngân hàng TMCP Á Châu,Ngân hàng,BANK
MBB,VPB,0.7860573289144717,0.2139426710855282,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",5,VPBank,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng,BANK
MBB,HDB,0.7722309436595151,0.2277690563404849,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",6,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
MBB,BID,0.766881795453224,0.2331182045467759,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",7,BIDV,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng,BANK
MBB,VIB,0.7437292865864293,0.2562707134135706,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",8,VIB,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng,BANK
MBB,TPB,0.7355660212803069,0.2644339787196931,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",9,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
MBB,LPB,0.7308099308099308,0.2691900691900691,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",10,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
MSB,TPB,0.8860747717890575,0.1139252282109425,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",1,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
MSB,VIB,0.8691202976917263,0.1308797023082737,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",2,VIB,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng,BANK
MSB,SSB,0.8459677888249317,0.1540322111750683,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,SeABank,Ngân hàng TMCP Đông Nam Á,Ngân hàng,BANK
MSB,OCB,0.8384557241700099,0.1615442758299901,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",4,OCB,Ngân hàng TMCP Phương Đông,Ngân hàng,BANK
MSB,EIB,0.7870457584743299,0.2129542415256701,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, CAR, ROE",5,Eximbank,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng,BANK
MSB,PCB,0.7866571428571428,0.2133428571428571,0.32,Ngân hàng niêm yết/ĐKGD,TotalAssets,6,PCB,PCB,Ngân hàng,BANK
MSB,TCB,0.753636839351125,0.2463631606488749,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",7,Techcombank,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng,BANK
MSB,SHB,0.7456480027908599,0.2543519972091401,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",8,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,BANK
MSB,HDB,0.7445665445665446,0.2554334554334554,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, CAR",9,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
MSB,STB,0.7396476539333682,0.2603523460666318,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",10,Sacombank,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng,BANK
NAB,SHB,0.8329321472178615,0.1670678527821385,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",1,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,BANK
NAB,LPB,0.8114076399790685,0.1885923600209315,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",2,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
NAB,ABB,0.8020582592011164,0.1979417407988836,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,ABB,ABB,Ngân hàng,BANK
NAB,BAB,0.7641839641839642,0.2358160358160358,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, CAR",4,Bac A Bank,Ngân hàng TMCP Bắc Á,Ngân hàng,BANK
NAB,TPB,0.763346706203849,0.236653293796151,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",5,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
NAB,VIB,0.754532240246526,0.245467759753474,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",6,VIB,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng,BANK
NAB,PCB,0.7509428571428571,0.2490571428571428,0.32,Ngân hàng niêm yết/ĐKGD,TotalAssets,7,PCB,PCB,Ngân hàng,BANK
NAB,VBB,0.7282930302436476,0.2717069697563524,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, ROE",8,VBB,VBB,Ngân hàng,BANK
NAB,MSB,0.7267980696552125,0.2732019303447875,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",9,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng,BANK
NAB,SSB,0.7241700098842956,0.2758299901157044,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NIM, NPL",10,SeABank,Ngân hàng TMCP Đông Nam Á,Ngân hàng,BANK
NVB,SGB,0.8552118361747991,0.1447881638252008,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",1,SGB,SGB,Ngân hàng,BANK
NVB,BVB,0.8252947939120778,0.1747052060879221,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",2,BVB,BVB,Ngân hàng,BANK
NVB,EIB,0.803477562218303,0.196522437781697,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,Eximbank,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng,BANK
